Scene ID,Safety Score,Realism Score,Comfort Score,Test Score,Final Score,Is Out Dynamic,Planner Avg Score,Is Valid Submit
9_64_straight_straight_68,0,8.93,5.71,0,14.64,0,85.39,1
9_67_straight_straight_71,0,7.78,5.49,0,13.26,0,89.27,1
9_72_straight_straight_73,0,0,0,0,0,1,0,1
9_75_straight_straight_79,30,7.5,6.41,0.0,43.91,0,89.12,1
9_79_straight_straight_83,0,0,0,0,0,1,0,1
9_82_straight_in_adjacent_left_84,30,7.42,5.52,20.07,63.01,0,87.09,1
9_91_straight_straight_93,0,0,0,0,0,1,0,1
9_92_straight_straight_95,0,0,0,0,0,1,0,1
crossing_128_34_0,0,6.18,9.3,0,15.49,0,90.2,1
crossing_752_7_0,30,4.13,9.0,0.0,43.13,0,90.99,1
crossing_752_7_2,30,3.73,9.04,0.0,42.77,0,91.17,1
highway_merge_2_1_195,30,7.89,9.55,0.0,47.44,0,92.21,1
highway_merge_2_1_196,30,5.98,9.28,0.0,45.26,0,91.0,1
highway_merge_2_1_198,30,9.2,9.45,0.0,48.65,0,92.4,1
highway_merge_2_1_210,30,7.35,9.37,0.0,46.73,0,92.72,1
highway_merge_2_1_286,30,7.64,9.4,0.0,47.04,0,92.61,1
highway_merge_2_1_297,30,7.96,9.55,0.0,47.51,0,92.32,1
highway_merge_2_1_305,30,7.44,9.42,23.89,70.75,0,72.89,1
highway_merge_2_1_333,30,7.21,9.4,0.0,46.61,0,92.63,1
highway_merge_2_1_356,30,9.37,9.4,20.12,68.89,0,72.75,1
highway_merge_2_1_357,30,7.48,9.55,24.57,71.6,0,56.35,1
highway_merge_2_1_379,30,8.0,9.46,20.04,67.5,0,92.22,1
highway_merge_2_1_384,30,7.23,9.43,2.0,48.66,0,73.83,1
highway_merge_2_1_446,0,0,0,0,0,1,0,1
highway_merge_2_1_489,30,7.96,9.41,2.0,49.37,0,73.31,1
